modality_dropped,arch,window_s,src_slug,exercise_f1,phase_f1,fatigue_mae,reps_mae
none,mlp,1,v17multi-mlp-w1s,0.5585988620242992,0.3463945351532161,1.1673874337466494,0.16012563398608842
none,mlp,2,v17multi-mlp-w2s,0.5295044619130969,0.33970229929273177,1.2355561193695688,0.1684700128301169
none,mlp,5,v17multi-mlp-w5s,0.5288761604260032,0.34527709269445594,1.2972554453972711,0.19825773958223422
none,lstm,1,v17multi-lstm-w1s,0.3187019965610799,0.3111505026840414,1.1004705749872197,0.15667698497697685
none,lstm,2,v17multi-lstm-w2s,0.33232039909993305,0.3304256189741132,0.9948676396036856,0.14518406591177843
none,lstm,5,v17multi-lstm-w5s,0.12323075042027165,0.2168465185467513,1.090888174653937,0.2170782260857292
acc,lstm,1,v17abl-drop_acc-lstm-w1s,0.1720145428708246,0.23579758157492706,1.0698096869554716,0.2121216506118339
acc,lstm,2,v17abl-drop_acc-lstm-w2s,0.19535103041735133,0.26166787660692775,0.9871761887443411,0.20946165282413787
acc,lstm,5,v17abl-drop_acc-lstm-w5s,0.12323075042027165,0.2168465185467513,1.0992377620667635,0.21734806555347902
acc,mlp,1,v17abl-drop_acc-mlp-w1s,0.35377394086204006,0.3312083487375966,1.155706098982303,0.21369405127973476
acc,mlp,2,v17abl-drop_acc-mlp-w2s,0.3485971207974275,0.3287410473388449,1.2322572673412457,0.21238535980610612
acc,mlp,5,v17abl-drop_acc-mlp-w5s,0.34825054017473894,0.32706537578721845,1.2785993146225594,0.21935201815633007
emg,lstm,1,v17abl-drop_emg-lstm-w1s,0.22216706766925093,0.24182234438244044,1.0673378280086707,0.20974307202932846
emg,lstm,2,v17abl-drop_emg-lstm-w2s,0.2609370829194557,0.25312531517575054,0.973878668365769,0.20835365606302225
emg,lstm,5,v17abl-drop_emg-lstm-w5s,0.12526632753183176,0.2154106297795469,1.091836639346638,0.2161113874860983
emg,mlp,1,v17abl-drop_emg-mlp-w1s,0.5163760751403556,0.32972169740704044,1.153786464344153,0.21021423695866007
emg,mlp,2,v17abl-drop_emg-mlp-w2s,0.5283999522871433,0.3247160897970565,1.236824684372405,0.21094349137313737
emg,mlp,5,v17abl-drop_emg-mlp-w5s,0.507811618755569,0.3328264329265208,1.2782771312336372,0.21670405503447665
ppg,lstm,1,v17abl-drop_ppg-lstm-w1s,0.1411415803443016,0.2216113616545666,1.0628673566165552,0.2111851598234943
ppg,lstm,2,v17abl-drop_ppg-lstm-w2s,0.12950901503970266,0.2256993404537581,0.9823662640807693,0.2092597622306919
ppg,lstm,5,v17abl-drop_ppg-lstm-w5s,0.12323075042027165,0.2168465185467513,1.1075730463111664,0.21695728198774375
ppg,mlp,1,v17abl-drop_ppg-mlp-w1s,0.5162793789984347,0.3391503444743495,1.180584614130437,0.20904796065984083
ppg,mlp,2,v17abl-drop_ppg-mlp-w2s,0.5282017404302078,0.33304268234858686,1.2374609202898066,0.21206034121427778
ppg,mlp,5,v17abl-drop_ppg-mlp-w5s,0.5094197891324143,0.35063602039289876,1.283684689656403,0.21805104287171242
temp,lstm,1,v17abl-drop_temp-lstm-w1s,0.15094605074809633,0.22315020263638558,1.0450898070195636,0.21131000063404723
temp,lstm,2,v17abl-drop_temp-lstm-w2s,0.12406587511156739,0.22189590847852753,0.9913304440063514,0.209834722323782
temp,lstm,5,v17abl-drop_temp-lstm-w5s,0.12323075042027165,0.2168465185467513,1.1120855532532572,0.2168380521832652
temp,mlp,1,v17abl-drop_temp-mlp-w1s,0.5590501892512217,0.34494823537773756,1.1610093626156226,0.2063569366610003
temp,mlp,2,v17abl-drop_temp-mlp-w2s,0.5514512961732788,0.34253521298950995,1.2498242936819608,0.20866539161714376
temp,mlp,5,v17abl-drop_temp-mlp-w5s,0.5253155864426542,0.34813949291360813,1.293554857978794,0.21526416802112938
