category,slug,arch,variant,window_s,tasks,modality_dropped,cv_scheme,n_folds,n_seeds,exercise_f1_mean,exercise_f1_std,exercise_n,phase_f1_mean,phase_f1_std,phase_n,fatigue_mae_mean,fatigue_mae_std,fatigue_pearson_mean,fatigue_pearson_std,fatigue_n,reps_mae_mean,reps_mae_std,reps_n,val_total_mean,val_total_std,hp_lr,hp_dropout,hp_repr_dim,hp_weight_decay,hp_batch_size,hp_extra
rf_baseline,v17rf_loso_20260507_180755,RandomForest,features,-,all 4 (separate models),none,GroupKFold-5 (subject-wise LOSO),10,1,0.568983895740142,0.13772918487621813,-,0.485952254044954,0.02720336873016082,-,0.992551990493167,0.2082747840870339,0.18961006687440718,-,-,2.604349887766554,0.8641371202430793,-,-,-,-,-,-,-,-,"{""exercise"": {""n_estimators"": 382, ""max_depth"": 5, ""min_samples_split"": 15, ""min_samples_leaf"": 5, ""max_features"": ""log2""}, ""phase"": {""n_estimators"": 307, ""max_depth"": 16, ""min_samples_split"": 3, ""min_samples_leaf"": 4, ""max_features"": 0.5}, ""fatigue"": {""n_estimators"": 238, ""max_depth"": 9, ""min_samples_split"": 11, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}, ""reps"": {""n_estimators"": 180, ""max_depth"": 3, ""min_samples_split"": 9, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}}"
ablation,v17abl-drop_acc-lstm-w1s,lstm,features,1,all 4,acc,LOSO 10-fold,10,3,0.1720145428708246,0.1045147220472768,30,0.23579758157492706,0.03644292309436928,30,1.0698096869554716,0.25829182971303494,0.12436087832288463,0.3508718758920912,30,0.2121216506118339,0.03946934018288201,30,-0.14819485394743592,0.3116631181776348,0.002469645860806916,0.32470612581272046,16,0.0009555267918374677,128,"{""lstm_hidden"": 32, ""lstm_layers"": 1}"
ablation,v17abl-drop_acc-lstm-w2s,lstm,features,2,all 4,acc,LOSO 10-fold,10,3,0.19535103041735133,0.08868591024508697,30,0.26166787660692775,0.04955718231000445,30,0.9871761887443411,0.2117503197545226,0.16726254613179828,0.34476334809066833,30,0.20946165282413787,0.03758544207914954,30,-0.20702250838050582,0.2667676621467049,0.002540841516629235,0.3193249335810906,64,0.005263820110984335,128,"{""lstm_hidden"": 32, ""lstm_layers"": 1}"
ablation,v17abl-drop_acc-lstm-w5s,lstm,features,5,all 4,acc,LOSO 10-fold,10,3,0.12323075042027165,0.01452147285852397,30,0.2168465185467513,0.016026714712923693,30,1.0992377620667635,0.24482597862459873,0.05964891611955971,0.28919237269719217,30,0.21734806555347902,0.04761918042345264,30,0.15572420954704286,0.12827441285400576,0.00253463522317991,0.33358838332136576,32,0.001947579945525273,128,"{""lstm_hidden"": 8, ""lstm_layers"": 1}"
ablation,v17abl-drop_acc-mlp-w1s,mlp,features,1,all 4,acc,LOSO 10-fold,10,3,0.35377394086204006,0.11301594481165482,30,0.3312083487375966,0.0340146338793532,30,1.155706098982303,0.22542783030221383,0.20576521343511248,0.30563022002171725,30,0.21369405127973476,0.039457424004459965,30,-0.05771591382617088,0.33063178796651854,0.0024046541719757414,0.4030055322691992,64,0.0002181476167250017,128,"{""hidden_dim"": 32}"
ablation,v17abl-drop_acc-mlp-w2s,mlp,features,2,all 4,acc,LOSO 10-fold,10,3,0.3485971207974275,0.1361406777623009,30,0.3287410473388449,0.03779874582206864,30,1.2322572673412457,0.256457813355072,0.16258834747327408,0.2506427576669015,30,0.21238535980610612,0.03743191849912644,30,-0.13359734553559247,0.26843696418716434,0.0028046390868500695,0.4828866027461608,64,0.009884157497089997,128,"{""hidden_dim"": 16}"
ablation,v17abl-drop_acc-mlp-w5s,mlp,features,5,all 4,acc,LOSO 10-fold,10,3,0.34825054017473894,0.13884480124913248,30,0.32706537578721845,0.046939205250315086,30,1.2785993146225594,0.27948313664379937,0.1477681223900354,0.25680748659492747,30,0.21935201815633007,0.04602564960285927,30,0.10743754307428996,0.16029855913053673,0.0029911670450084023,0.36455305739362126,32,0.005508560556531181,128,"{""hidden_dim"": 16}"
ablation,v17abl-drop_emg-lstm-w1s,lstm,features,1,all 4,emg,LOSO 10-fold,10,3,0.22216706766925093,0.1580170996966313,30,0.24182234438244044,0.04775429584167991,30,1.0673378280086707,0.25570774645603667,0.23935240083569675,0.2434660510200303,30,0.20974307202932846,0.042370785834681915,30,-0.19368676254600145,0.3258885825868186,0.002469645860806916,0.32470612581272046,16,0.0009555267918374677,128,"{""lstm_hidden"": 32, ""lstm_layers"": 1}"
ablation,v17abl-drop_emg-lstm-w2s,lstm,features,2,all 4,emg,LOSO 10-fold,10,3,0.2609370829194557,0.17176949446144463,30,0.25312531517575054,0.045029987820151204,30,0.973878668365769,0.2109404878351393,0.22551169651785172,0.2930378744439083,30,0.20835365606302225,0.03930213136770635,30,-0.2721362747422594,0.2827212593065963,0.002540841516629235,0.3193249335810906,64,0.005263820110984335,128,"{""lstm_hidden"": 32, ""lstm_layers"": 1}"
ablation,v17abl-drop_emg-lstm-w5s,lstm,features,5,all 4,emg,LOSO 10-fold,10,3,0.12526632753183176,0.019377199996132168,30,0.2154106297795469,0.015457959758349096,30,1.091836639346638,0.2619604519851429,0.1810466639068483,0.24616887570596815,30,0.2161113874860983,0.046397249067159536,30,0.15184741020202636,0.12885574831525132,0.00253463522317991,0.33358838332136576,32,0.001947579945525273,128,"{""lstm_hidden"": 8, ""lstm_layers"": 1}"
