pipeline,category,slug,arch,variant,window_s,tasks,modality_dropped,cv_scheme,n_folds,n_seeds,exercise_f1_mean,exercise_f1_std,phase_f1_mean,phase_f1_std,fatigue_mae_mean,fatigue_mae_std,fatigue_pearson_mean,fatigue_pearson_std,reps_mae_mean,reps_mae_std,val_total_mean,val_total_std
v17_features,rf_baseline,v17rf_loso_20260507_180755,RandomForest,features,-,all 4 (separate models),none,GroupKFold-5 (subject-wise LOSO),10,1,0.568983895740142,0.13772918487621813,0.485952254044954,0.02720336873016082,0.992551990493167,0.2082747840870339,0.18961006687440718,-,2.604349887766554,0.8641371202430793,-,-
v17_features,ablation,v17abl-drop_acc-lstm-w1s,lstm,features,1,all 4,acc,LOSO 10-fold,10,3,0.1720145428708246,0.1045147220472768,0.23579758157492706,0.03644292309436928,1.0698096869554716,0.25829182971303494,0.12436087832288463,0.3508718758920912,0.2121216506118339,0.03946934018288201,-0.14819485394743592,0.3116631181776348
v17_features,ablation,v17abl-drop_acc-lstm-w2s,lstm,features,2,all 4,acc,LOSO 10-fold,10,3,0.19535103041735133,0.08868591024508697,0.26166787660692775,0.04955718231000445,0.9871761887443411,0.2117503197545226,0.16726254613179828,0.34476334809066833,0.20946165282413787,0.03758544207914954,-0.20702250838050582,0.2667676621467049
v17_features,ablation,v17abl-drop_acc-lstm-w5s,lstm,features,5,all 4,acc,LOSO 10-fold,10,3,0.12323075042027165,0.01452147285852397,0.2168465185467513,0.016026714712923693,1.0992377620667635,0.24482597862459873,0.05964891611955971,0.28919237269719217,0.21734806555347902,0.04761918042345264,0.15572420954704286,0.12827441285400576
v17_features,ablation,v17abl-drop_acc-mlp-w1s,mlp,features,1,all 4,acc,LOSO 10-fold,10,3,0.35377394086204006,0.11301594481165482,0.3312083487375966,0.0340146338793532,1.155706098982303,0.22542783030221383,0.20576521343511248,0.30563022002171725,0.21369405127973476,0.039457424004459965,-0.05771591382617088,0.33063178796651854
v17_features,ablation,v17abl-drop_acc-mlp-w2s,mlp,features,2,all 4,acc,LOSO 10-fold,10,3,0.3485971207974275,0.1361406777623009,0.3287410473388449,0.03779874582206864,1.2322572673412457,0.256457813355072,0.16258834747327408,0.2506427576669015,0.21238535980610612,0.03743191849912644,-0.13359734553559247,0.26843696418716434
v17_features,ablation,v17abl-drop_acc-mlp-w5s,mlp,features,5,all 4,acc,LOSO 10-fold,10,3,0.34825054017473894,0.13884480124913248,0.32706537578721845,0.046939205250315086,1.2785993146225594,0.27948313664379937,0.1477681223900354,0.25680748659492747,0.21935201815633007,0.04602564960285927,0.10743754307428996,0.16029855913053673
v17_features,ablation,v17abl-drop_emg-lstm-w1s,lstm,features,1,all 4,emg,LOSO 10-fold,10,3,0.22216706766925093,0.1580170996966313,0.24182234438244044,0.04775429584167991,1.0673378280086707,0.25570774645603667,0.23935240083569675,0.2434660510200303,0.20974307202932846,0.042370785834681915,-0.19368676254600145,0.3258885825868186
v17_features,ablation,v17abl-drop_emg-lstm-w2s,lstm,features,2,all 4,emg,LOSO 10-fold,10,3,0.2609370829194557,0.17176949446144463,0.25312531517575054,0.045029987820151204,0.973878668365769,0.2109404878351393,0.22551169651785172,0.2930378744439083,0.20835365606302225,0.03930213136770635,-0.2721362747422594,0.2827212593065963
v17_features,ablation,v17abl-drop_emg-lstm-w5s,lstm,features,5,all 4,emg,LOSO 10-fold,10,3,0.12526632753183176,0.019377199996132168,0.2154106297795469,0.015457959758349096,1.091836639346638,0.2619604519851429,0.1810466639068483,0.24616887570596815,0.2161113874860983,0.046397249067159536,0.15184741020202636,0.12885574831525132
v17_features,ablation,v17abl-drop_emg-mlp-w1s,mlp,features,1,all 4,emg,LOSO 10-fold,10,3,0.5163760751403556,0.14564198973331632,0.32972169740704044,0.038294230560793674,1.153786464344153,0.1979671146210744,0.18374196772469953,0.28723979766372293,0.21021423695866007,0.03894147843059507,-0.2504187295033689,0.38815112655102596
v17_features,ablation,v17abl-drop_emg-mlp-w2s,mlp,features,2,all 4,emg,LOSO 10-fold,10,3,0.5283999522871433,0.12993322952892972,0.3247160897970565,0.037575962834718424,1.236824684372405,0.24292841790493663,0.1381218489223011,0.23622027566817025,0.21094349137313737,0.037977185311321424,-0.26294274867558465,0.31699042159277163
v17_features,ablation,v17abl-drop_emg-mlp-w5s,mlp,features,5,all 4,emg,LOSO 10-fold,10,3,0.507811618755569,0.12976187369218437,0.3328264329265208,0.04738075505788616,1.2782771312336372,0.2613366318928777,0.16012897416037136,0.2673689117071204,0.21670405503447665,0.044663368712533236,-0.038455102841059366,0.22391866697267854
v17_features,ablation,v17abl-drop_ppg-lstm-w1s,lstm,features,1,all 4,ppg,LOSO 10-fold,10,3,0.1411415803443016,0.0460791755674367,0.2216113616545666,0.02224850973232419,1.0628673566165552,0.2819387907005651,0.06525320690107038,0.20996562194572974,0.2111851598234943,0.04107379744745742,-0.16328747249323616,0.3187768572856549
v17_features,ablation,v17abl-drop_ppg-lstm-w2s,lstm,features,2,all 4,ppg,LOSO 10-fold,10,3,0.12950901503970266,0.028782278789503724,0.2256993404537581,0.025166218305632402,0.9823662640807693,0.23777390686338673,0.05848651788258371,0.17193511414491539,0.2092597622306919,0.0379820117531632,-0.21700802769069974,0.25443632652959614
v17_features,ablation,v17abl-drop_ppg-lstm-w5s,lstm,features,5,all 4,ppg,LOSO 10-fold,10,3,0.12323075042027165,0.01452147285852397,0.2168465185467513,0.016026714712923693,1.1075730463111664,0.2604510473232017,-0.004659371662946559,0.1867393964566736,0.21695728198774375,0.047655931528248284,0.15583521922429402,0.12950564374961826
v17_features,ablation,v17abl-drop_ppg-mlp-w1s,mlp,features,1,all 4,ppg,LOSO 10-fold,10,3,0.5162793789984347,0.10388510916870689,0.3391503444743495,0.028443542715831167,1.180584614130437,0.19665753720932092,0.12773015219375283,0.2895257003716989,0.20904796065984083,0.04017347610305406,-0.26453745774914267,0.33856097630711834
v17_features,ablation,v17abl-drop_ppg-mlp-w2s,mlp,features,2,all 4,ppg,LOSO 10-fold,10,3,0.5282017404302078,0.09914505149473687,0.33304268234858686,0.04052800134041991,1.2374609202898066,0.23039231379698505,0.1049903738842602,0.1984654160650622,0.21206034121427778,0.03928271880509257,-0.2763027742309992,0.27910118801902845
v17_features,ablation,v17abl-drop_ppg-mlp-w5s,mlp,features,5,all 4,ppg,LOSO 10-fold,10,3,0.5094197891324143,0.10832577629070518,0.35063602039289876,0.04968563276940401,1.283684689656403,0.21241189186788542,0.08331364020644957,0.2345554461542646,0.21805104287171242,0.04697497585743822,-0.0331411341826121,0.1924371918951996
