exercise,feature,n,rho,p
squat,peak_acc,30,-0.18416266966557585,0.32995443604465274
squat,mean_acc,30,0.042867513485225064,0.8220404211672292
squat,rep_duration_s,30,-0.1489586222782681,0.4320961013560911
squat,dom_freq_hz,30,-0.1275319644725901,0.5018443530788584
squat,jerk_rms,30,0.03089334770722924,0.8712599788535516
deadlift,peak_acc,30,-0.11850158176967615,0.5328350773933076
deadlift,mean_acc,30,-0.026616566217798353,0.8889643587803167
deadlift,rep_duration_s,30,-0.3879075215741743,0.0341655359951845
deadlift,dom_freq_hz,30,0.0033098889522785347,0.9861504686659481
deadlift,jerk_rms,30,-0.3180101042022168,0.0867896248090899
benchpress,peak_acc,30,-0.1488365741496721,0.4324776888927305
benchpress,mean_acc,30,-0.16305516829031874,0.38927994014019923
benchpress,rep_duration_s,30,-0.11007943850823208,0.5625386241549978
benchpress,dom_freq_hz,30,-0.09223257673831957,0.627854919882872
benchpress,jerk_rms,30,0.0006879964906764504,0.9971210932158668
pullup,peak_acc,24,0.13181929446345983,0.539218817323176
pullup,mean_acc,24,0.037203354883415495,0.8629751835763415
pullup,rep_duration_s,24,0.0849706253510107,0.6930180977945961
pullup,dom_freq_hz,24,0.08981280911193983,0.6764239062010223
pullup,jerk_rms,24,0.23194684217438052,0.27544826664619854
