arch,window_s,modality_dropped,full_exercise_f1,dropped_exercise_f1,delta_exercise_f1,full_phase_f1,dropped_phase_f1,delta_phase_f1,full_fatigue_mae,dropped_fatigue_mae,delta_fatigue_mae_lower_better,full_reps_mae,dropped_reps_mae,delta_reps_mae_lower_better
lstm,1,acc,0.3187019965610799,0.1720145428708246,-0.1466874536902553,0.3111505026840414,0.23579758157492706,-0.07535292110911432,1.1004705749872197,1.0698096869554716,0.030660888031748046,0.15667698497697685,0.2121216506118339,-0.05544466563485706
lstm,1,emg,0.3187019965610799,0.22216706766925093,-0.09653492889182896,0.3111505026840414,0.24182234438244044,-0.06932815830160094,1.1004705749872197,1.0673378280086707,0.033132746978548955,0.15667698497697685,0.20974307202932846,-0.05306608705235161
lstm,1,ppg,0.3187019965610799,0.1411415803443016,-0.1775604162167783,0.3111505026840414,0.2216113616545666,-0.08953914102947477,1.1004705749872197,1.0628673566165552,0.03760321837066449,0.15667698497697685,0.2111851598234943,-0.05450817484651746
lstm,1,temp,0.3187019965610799,0.15094605074809633,-0.16775594581298356,0.3111505026840414,0.22315020263638558,-0.0880003000476558,1.1004705749872197,1.0450898070195636,0.05538076796765612,0.15667698497697685,0.21131000063404723,-0.05463301565707038
lstm,2,acc,0.33232039909993305,0.19535103041735133,-0.13696936868258172,0.3304256189741132,0.26166787660692775,-0.06875774236718546,0.9948676396036856,0.9871761887443411,0.0076914508593445285,0.14518406591177843,0.20946165282413787,-0.06427758691235944
lstm,2,emg,0.33232039909993305,0.2609370829194557,-0.07138331618047733,0.3304256189741132,0.25312531517575054,-0.07730030379836267,0.9948676396036856,0.973878668365769,0.020988971237916654,0.14518406591177843,0.20835365606302225,-0.06316959015124382
lstm,2,ppg,0.33232039909993305,0.12950901503970266,-0.2028113840602304,0.3304256189741132,0.2256993404537581,-0.1047262785203551,0.9948676396036856,0.9823662640807693,0.012501375522916303,0.14518406591177843,0.2092597622306919,-0.06407569631891347
lstm,2,temp,0.33232039909993305,0.12406587511156739,-0.20825452398836566,0.3304256189741132,0.22189590847852753,-0.10852971049558569,0.9948676396036856,0.9913304440063514,0.0035371955973342306,0.14518406591177843,0.209834722323782,-0.06465065641200357
lstm,5,acc,0.12323075042027165,0.12323075042027165,0.0,0.2168465185467513,0.2168465185467513,0.0,1.090888174653937,1.0992377620667635,-0.008349587412826542,0.2170782260857292,0.21734806555347902,-0.0002698394677498328
lstm,5,emg,0.12323075042027165,0.12526632753183176,0.002035577111560105,0.2168465185467513,0.2154106297795469,-0.0014358887672044074,1.090888174653937,1.091836639346638,-0.0009484646927011564,0.2170782260857292,0.2161113874860983,0.0009668385996308981
